,count,mean,std,min,25%,50%,75%,max,Skewness,Kurtosis,D-statistic,P-value
Age,37.0,24.432,2.089,20.0,23.0,25.0,25.0,30.0,0.208,0.53,0.165,0.236
Distinctness,37.0,18.243,3.068,10.0,17.0,18.0,20.0,25.0,-0.625,0.711,0.144,0.389
Eveningness,37.0,18.622,4.651,10.0,15.0,20.0,22.0,24.0,-0.745,-0.902,0.184,0.143
Morning affect,37.0,14.27,4.953,5.0,10.0,14.0,19.0,24.0,0.203,-0.942,0.116,0.656
Sensitivity to punishment,37.0,4.73,3.339,0.0,2.0,5.0,7.0,11.0,0.271,-0.937,0.118,0.643
Sensitivity to reward,37.0,4.595,1.691,2.0,3.0,4.0,6.0,8.0,0.097,-0.955,0.151,0.334
Neuroticism,37.0,25.216,7.983,13.0,19.0,25.0,32.0,41.0,0.278,-1.07,0.143,0.398
Extraversion,37.0,27.027,7.481,12.0,22.0,26.0,32.0,42.0,0.099,-0.569,0.072,0.984
Openness,37.0,31.351,6.672,15.0,26.0,33.0,36.0,42.0,-0.502,-0.522,0.138,0.441
Agreeableness,37.0,29.351,7.166,12.0,26.0,30.0,34.0,41.0,-0.801,0.066,0.131,0.511
Conscientiousness,37.0,27.973,7.489,14.0,23.0,28.0,31.0,46.0,0.248,-0.167,0.123,0.587
GAD,37.0,5.622,3.294,0.0,3.0,6.0,7.0,13.0,0.264,-0.378,0.149,0.352
Positive affect,37.0,33.027,6.768,16.0,30.0,33.0,36.0,50.0,-0.203,0.88,0.148,0.359
Negative affect,37.0,19.757,5.58,11.0,16.0,18.0,25.0,30.0,0.321,-0.947,0.164,0.244
BAS drive,37.0,9.351,2.7,5.0,7.0,9.0,11.0,16.0,0.47,-0.302,0.119,0.625
BAS fun,37.0,10.595,1.691,7.0,9.0,11.0,12.0,14.0,-0.323,-0.524,0.175,0.182
BAS reward,37.0,14.541,2.567,9.0,13.0,15.0,16.0,19.0,-0.387,-0.375,0.121,0.612
BIS,37.0,19.459,4.161,8.0,17.0,19.0,23.0,27.0,-0.42,0.15,0.108,0.744
AIS,37.0,5.595,3.166,1.0,3.0,5.0,7.0,16.0,1.092,1.578,0.125,0.565
ASRS,37.0,34.378,10.505,18.0,26.0,32.0,41.0,61.0,0.473,-0.423,0.112,0.703
